word_registry_id,word,hex_color,field_type,iso_language,created_ymdhis,updated_ymdhis,source_table,usage_count,actor_hex
101,yellow,FFFF00,node,EN,0,0,seed,0,808080
102,blue,0000FF,node,EN,0,0,seed,0,808080
103,ocean,1E90FF,node,EN,0,0,seed,0,808080
104,grass,0c871b,node,EN,0,0,seed,0,808080
105,aliceblue,F0F8FF,node,EN,0,0,seed,0,808080
106,antiquewhite,FAEBD7,node,EN,0,0,seed,0,808080
107,aqua,00FFFF,node,EN,0,0,seed,0,808080
108,aquamarine,7FFFD4,node,EN,0,0,seed,0,808080
109,azure,F0FFFF,node,EN,0,0,seed,0,808080
110,beige,F5F5DC,node,EN,0,0,seed,0,808080
111,bisque,FFE4C4,node,EN,0,0,seed,0,808080
112,black,000000,node,EN,0,0,seed,0,808080
113,blanchedalmond,FFEBCD,node,EN,0,0,seed,0,808080
114,blueviolet,8A2BE2,node,EN,0,0,seed,0,808080
115,brown,A52A2A,node,EN,0,0,seed,0,808080
116,burlywood,DEB887,node,EN,0,0,seed,0,808080
117,cadetblue,5F9EA0,node,EN,0,0,seed,0,808080
118,chartreuse,7FFF00,node,EN,0,0,seed,0,808080
119,chocolate,D2691E,node,EN,0,0,seed,0,808080
120,coral,FF7F50,node,EN,0,0,seed,0,808080
121,cornflowerblue,6495ED,node,EN,0,0,seed,0,808080
122,cornsilk,FFF8DC,node,EN,0,0,seed,0,808080
123,crimson,DC143C,node,EN,0,0,seed,0,808080
124,cyan,00FFFF,node,EN,0,0,seed,0,808080
125,darkblue,00008B,node,EN,0,0,seed,0,808080
126,darkcyan,008B8B,node,EN,0,0,seed,0,808080
127,darkgoldenrod,B8860B,node,EN,0,0,seed,0,808080
128,darkgray,A9A9A9,node,EN,0,0,seed,0,808080
129,darkgreen,006400,node,EN,0,0,seed,0,808080
130,darkkhaki,BDB76B,node,EN,0,0,seed,0,808080
131,darkmagenta,8B008B,node,EN,0,0,seed,0,808080
132,darkolivegreen,556B2F,node,EN,0,0,seed,0,808080
133,darkorange,FF8C00,node,EN,0,0,seed,0,808080
134,darkorchid,9932CC,node,EN,0,0,seed,0,808080
135,darkred,8B0000,node,EN,0,0,seed,0,808080
136,darksalmon,E9967A,node,EN,0,0,seed,0,808080
137,darkseagreen,8FBC8F,node,EN,0,0,seed,0,808080
138,darkslateblue,483D8B,node,EN,0,0,seed,0,808080
139,darkslategray,2F4F4F,node,EN,0,0,seed,0,808080
140,darkturquoise,00CED1,node,EN,0,0,seed,0,808080
